Ground Truth ACE,Median Estimation ACE,Mean Estimation ACE,P5 ACE,P25 ACE,P50 ACE,P75 ACE,P95 ACE,Ground Truth Fre,Median Estimation Fre,Mean Estimation Fre,P5 Fre,P25 Fre,P50 Fre,P75 Fre,P95 Fre
41.62,43.846624411891185,43.76446238005124,34.12455577574909,39.528201973883505,43.846624411891185,48.27995254094023,52.83032461977412,78.64,43.690049023768154,43.722146515706534,38.56722449990908,41.39484677579759,43.690049023768154,45.89268818807271,49.27585958102889
41.26,47.651450009314686,47.676063509535844,37.948972223941844,43.65074129226055,47.651450009314686,51.56443829841248,57.64619243742573,78.64,46.21405452886393,46.33390478134438,40.64027588160545,43.98452554616786,46.21405452886393,48.75184212457491,52.116927058690294
41.76,47.19781730171539,47.079893973250314,37.24093170648296,42.71929860429634,47.19781730171539,51.00248319937194,57.231991476523426,78.64,46.632887899443844,46.60889963826885,41.07114763938672,44.192248581858095,46.632887899443844,48.86497665267461,52.0100168790131
42.75,44.27500061340001,44.38486312087127,34.39718738918681,40.329431668192484,44.27500061340001,48.61840556226883,53.848726547205416,78.64,49.4796856249187,49.4225604341368,43.96490717439686,47.185625544250804,49.4796856249187,51.779392752485194,54.91482262023331
42.83,39.60407637354283,39.77636239481551,30.36123469286641,35.51850566285425,39.60407637354283,43.78791972689605,49.17677660981181,78.64,46.40767937940146,46.52010376001781,41.343678644132716,44.22831666113832,46.40767937940146,48.7673101943912,51.96017074932303
42.91,37.67608818151166,37.8344013080013,28.39498910681341,33.874018213898125,37.67608818151166,41.73939547237728,47.78557403462037,78.64,52.950253473148756,53.020177439390444,47.3267083764861,50.497920252750234,52.950253473148756,55.37032246054643,58.97162178446234
41.96,38.506673795148394,38.74022074524718,29.672598366840806,34.77359794652483,38.506673795148394,42.716054845561416,49.121573702084035,78.64,54.69840186506474,54.84045179101999,49.586784677577604,52.38553735069629,54.69840186506474,57.32986496294963,60.36763762363034
43.66,43.06415559908663,43.369539169911015,33.36700345007074,39.31793734213247,43.06415559908663,47.41317286543135,53.76341243144223,78.64,52.55060347133244,52.63847436990332,47.469107008152804,50.45506429111815,52.55060347133244,54.77853522163557,58.01269282199967
49.99,51.126266553135906,51.22419010667808,41.42181469461234,46.799035704291285,51.126266553135906,55.6125477073723,61.67392532384335,78.64,49.02116444477281,49.089833771391845,43.379918543919075,46.7775103762292,49.02116444477281,51.526263784537974,54.47553163538805
39.44,48.25880478435994,48.20847972652553,38.28383250431578,43.85345098613268,48.25880478435994,52.37724652243895,58.24299903877646,102.51,47.47351342576252,47.49517750589205,41.8646045290339,45.35999334569402,47.47351342576252,49.771729476202964,52.767639833713446
41.19,47.261288200927254,47.19996793897589,37.399798026891816,43.121865759174824,47.261288200927254,51.17885353376299,56.657094072913225,102.51,50.21422071136993,50.26489913615784,45.03869234156312,48.225713842926865,50.21422071136993,52.481211865029586,55.36517352142913
43.72,48.56720039177003,48.58988112385569,39.00726202554222,44.16686381546289,48.56720039177003,52.85324865077155,59.121435845257906,102.51,51.704073487183,51.80272794268612,46.51680573716157,49.54601180826105,51.704073487183,54.086505779352976,57.06025670192428
42.48,45.89658053171479,46.166648694921804,36.41132575564285,41.84630306944739,45.89658053171479,50.30260518006625,56.55941018575638,102.51,57.69984898729059,57.8155400069882,52.61172248725889,55.57236212152706,57.69984898729059,60.05637483441409,63.37482284378722
41.55,38.88767048371557,38.90894189265457,28.655600520233207,34.56472183923333,38.88767048371557,43.40891049566088,48.85990519369871,102.51,59.07892799401422,59.19956690928298,54.051028017173806,57.10847949749321,59.07892799401422,61.398135547632805,64.34082998616765
43.82,38.41655078426365,38.53267652821276,28.410606388025162,34.25509164447668,38.41655078426365,42.91750796873774,48.97042422021728,102.51,57.756993791059415,57.63785050833948,51.92487474329456,55.222253954136505,57.756993791059415,60.02983079515197,63.151355196724566
41.42,39.20356090437335,39.09490744946912,29.113998663359887,34.86113191177198,39.20356090437335,43.30119609540522,48.93628945480009,102.51,53.30081079127519,53.40251138517453,48.32158745838056,51.27524382948863,53.30081079127519,55.48345614197174,59.0076446877683
