ACE_resid,Freq_resid
118.03417,0.021596774
150.47292,0.02806959
143.11879,0.025517048
140.2241,0.024674919
139.25922,0.021197503
139.02267,0.020058786
138.6294,0.017517246
132.58984,0.019220132
111.467476,0.013766568
116.63157,0.008355012
77.243805,-0.0037968352
47.90171,-0.010587272
18.235615,-0.014109454
4.0667353,-0.019273479
7.201484,-0.020644162
-0.6263623,-0.020732526
2.1911201,-0.01886744
5.4162445,-0.02073724
16.553432,-0.020774301
1.962328,-0.02134358
11.65689,-0.022830427
2.6519012,-0.016746152
-11.188791,-0.019966163
2.9978924,-0.015769504
15.853248,-0.015589068
9.73,-0.016131505
-16.513489,-0.016922263
-27.854733,-0.018505922
-29.313063,-0.017014258
-70.44351,-0.022164393
-62.72972,-0.021441258
-59.232533,-0.024927048
-57.811535,-0.021514151
-60.00506,-0.019102463
-81.59143,-0.018033162
-65.97795,-0.016889
-55.517303,-0.015780764
-55.281364,-0.019059028
-87.26536,-0.019291107
-60.672947,-0.016475216
-53.129284,-0.009426708
-32.97049,-0.008578902
-37.57747,-0.013111602
-51.146664,-0.019684965
-114.110214,-0.031244855
-92.100365,-0.031238236
-73.432785,-0.031501997
-57.34151,-0.02634613
-64.46749,-0.018992405
-91.93512,-0.018345693
-90.91434,-0.015968064
-100.43522,-0.019896865
-155.38156,-0.028896187
-174.71014,-0.03619643
-180.94183,-0.033474226
-181.34961,-0.029091677
-186.27773,-0.027730053
-171.50308,-0.022824313
-165.50287,-0.018409291
-134.43446,-0.011561214
-101.022705,-0.0054655913
-65.616875,0.0029999455
-37.534473,0.006033703
-9.066139,0.009693209
-0.9453049,0.009808811
-2.8458061,0.005293535
-11.735416,-0.0031363552
-8.486111,-0.0078074336
-27.063671,-0.0126228575
-35.78813,-0.021858282
-30.028294,-0.020814521
-26.121038,-0.016300384
-14.502102,-0.013944472
-2.259882,-0.009403253
-4.882309,-0.005153066
16.753613,-0.00029482087
19.85476,-0.0047013387
26.665813,-0.007591147
35.367874,-0.007734304
0.0083351135,-0.0035179225
5.87516,-0.0058123404
-8.630665,-0.0060752174
-11.190102,-0.010055362
-22.919794,-0.011195474
-28.133135,-0.013063688
-30.065168,-0.013000248
-8.081292,-0.015054109
-21.057512,-0.020469526
-22.075363,-0.02187873
-17.008562,-0.022245
-4.9267306,-0.02078828
-13.63254,-0.023518348
-32.5396,-0.021701202
-62.95831,-0.028500656
-93.588776,-0.034711957
-83.25748,-0.03540747
-97.35506,-0.03594284
-89.8836,-0.030788813
-78.56904,-0.02648024
-66.160706,-0.018577518
-64.463745,-0.016108265
-53.895763,-0.013653954
-81.96008,-0.009668624
-41.734848,-0.0073890346
-29.087606,-0.010164777
-64.1175,-0.012679072
-78.65712,-0.018032636
-112.472374,-0.025038915
-102.34537,-0.021799061
-110.79746,-0.02107231
-129.746,-0.020474656
-144.22606,-0.021258086
-144.51991,-0.022692911
-140.212,-0.022196028
-145.00894,-0.025984978
-161.98488,-0.02593122
-179.70676,-0.02749854
-180.11804,-0.030429062
-231.29955,-0.035975825
-236.28206,-0.03981831
-223.80649,-0.036177788
-221.10162,-0.034293078
-194.24731,-0.027225666
-187.97768,-0.026614135
-203.27078,-0.023748124
-209.16525,-0.022586055
-196.75453,-0.021532428
-202.85257,-0.026414659
-182.75516,-0.023207167
-159.43326,-0.01630213
-116.865295,-0.006422436
-77.85137,-0.00354137
-81.40821,-0.0007365998
-77.08489,0.00059667183
-102.17999,-0.005095918
-123.387215,-0.010726234
-116.24533,-0.011409678
-93.9735,-0.005655752
-102.278,-0.007954662
-107.19825,-0.012081886
-109.027,-0.01341268
-106.490616,-0.013652319
-87.62811,-0.012565209
-104.55666,-0.013589896
-90.2294,-0.010811246
-93.75133,-0.010819252
-87.98806,-0.010533305
-66.58042,-0.009618872
-69.856895,-0.0069320365
-68.87205,-0.003368111
-55.2104,-0.0012226416
-65.24102,-0.0016512164
-47.886375,-0.00093407335
-62.79197,-0.003000767
-88.1843,-0.005856736
-105.862885,-0.011508794
-143.15025,-0.022217868
-188.86441,-0.026925111
-174.10901,-0.027953938
-166.10825,-0.02728094
-144.26605,-0.0257179
-138.08403,-0.019269496
-106.34648,-0.015748322
-109.54062,-0.014996804
-86.2231,-0.013967251
-73.99,-0.008482273
-69.77724,-0.0046303542
-84.14581,-0.007370906
-89.92415,-0.004897384
-78.60086,-0.0029927539
-78.79918,-0.002041047
-43.50396,-0.000589216
