rt_true,da_true,load_true,rt_pred,da_pred,load_pred
24.7,35.13,2501.5923,195506963626.8958,188635055280.0556,152557293115.2722
46.53,38.61,2530.2305,23.9782,36.453,2401.5465
21.48,38.61,2522.9375,24.6038,37.9965,2433.8582
21.83,38.61,2599.5356,26.2448,38.4594,2453.0189
22.28,38.61,2613.7983,26.2065,39.1111,2521.1233
22.8,38.61,2629.3491,25.484,39.0984,2516.7329
46.75,38.61,2641.0947,27.9401,38.8794,2591.6645
40.89,38.61,2648.6433,27.3378,39.1495,2644.2683
27.11,38.61,2658.4636,27.0306,37.8066,2606.2345
22.99,38.61,2688.415,25.5556,35.8679,2532.6399
22.38,38.61,2689.147,27.4836,36.5798,2620.9494
23.61,38.61,2713.2314,28.0513,36.4141,2626.7613
23.76,38.61,2721.2854,27.9977,36.317,2576.9714
23.76,40.33,2736.2383,28.1519,37.7136,2614.8821
24.31,40.33,2742.1128,31.9538,41.9673,2666.3891
24.78,40.33,2775.9507,29.7117,40.6094,2655.0187
28.97,40.33,2788.5295,25.2173,42.0013,2776.0265
31.17,40.33,2810.2925,28.1034,42.9959,2812.5857
31.26,40.33,2795.5557,26.1886,42.5691,2832.1401
28.96,40.33,2846.5156,29.0269,42.6528,2826.4208
23.21,40.33,2838.6812,27.8299,41.7989,2827.2055
24.78,40.33,2872.6792,22.7109,41.2304,2841.3529
24.27,40.33,2887.4075,24.8366,41.4049,2891.2132
23.92,40.33,2912.6689,24.5141,41.9494,2893.3544
24.85,40.33,2892.0864,21.7665,41.7384,2924.5767
36.08,41.52,2915.5029,23.8618,42.8994,2900.5266
36.65,41.52,2940.729,30.496,42.8273,2935.4599
35.95,41.52,2982.2417,28.236,41.9736,2921.2468
35.91,41.52,2996.8857,26.1565,42.4243,2927.8562
36.43,41.52,3038.5708,27.0963,43.8576,2923.2054
36.46,41.52,3029.8025,34.8464,44.6791,2934.929
36.05,41.52,3071.4326,34.2533,42.7324,2929.4479
36.14,41.52,3096.2598,35.3433,43.8688,2982.7469
36.19,41.52,3120.8171,34.2204,42.9237,2997.1282
38.28,41.52,3111.4209,29.5969,44.5374,3013.7088
38.5,41.52,3159.3696,30.0181,46.1804,3037.9499
38.54,41.52,3171.5195,32.3942,46.0175,3063.3985
36.55,47.46,3187.5854,26.4602,44.7425,3037.6001
38.38,47.46,3223.3193,28.567,43.8499,3042.7619
38.35,47.46,3231.2747,24.9784,43.4086,3065.1371
38.31,47.46,3258.5337,29.9247,44.39,3134.2171
38.32,47.46,3277.7083,28.847,44.7256,3126.4975
38.35,47.46,3314.8997,35.8138,43.0859,3199.0774
38.35,47.46,3335.4185,32.8912,43.5744,3192.1092
38.54,47.46,3378.4983,30.0799,44.6707,3222.6958
38.58,47.46,3383.5479,39.0469,45.1471,3256.5242
39.0,47.46,3420.1636,37.8491,43.8021,3314.6821
39.08,47.46,3428.813,26.7528,42.9204,3281.2834
39.15,47.46,3440.0923,37.1112,43.0042,3324.8256
38.99,51.56,3468.9805,37.2794,43.1126,3346.8964
39.17,51.56,3467.9072,32.353,48.6304,3362.4975
39.02,51.56,3511.1399,44.1552,50.885,3394.3547
38.93,51.56,3533.7378,42.9712,48.1941,3410.914
38.98,51.56,3546.6614,43.4981,48.9257,3430.2372
39.21,51.56,3571.1536,45.7567,48.1327,3444.7181
39.24,51.56,3587.2993,43.6772,49.4846,3500.0871
39.4,51.56,3631.1157,43.7854,51.0488,3519.1894
39.69,51.56,3639.1616,42.05,49.8226,3581.9941
39.73,51.56,3685.1963,41.7968,48.7723,3603.6339
39.79,51.56,3706.1499,41.6566,48.1978,3634.8145
39.83,51.56,3736.2639,41.9361,48.4406,3637.9274
39.74,55.17,3751.5073,41.8056,48.7505,3650.0311
39.91,55.17,3760.5657,38.9988,52.0788,3675.4845
40.04,55.17,3778.3652,38.0431,52.9382,3639.8974
40.05,55.17,3816.0249,41.7398,52.1979,3687.5428
40.08,55.17,3832.5725,40.9668,52.5758,3716.2383
40.21,55.17,3861.3677,43.4426,53.6494,3720.4621
40.24,55.17,3867.4165,43.2765,53.406,3740.2972
40.53,55.17,3888.8657,47.0046,54.0261,3762.036
40.6,55.17,3909.9397,40.8721,56.3064,3804.2438
40.53,55.17,3911.9792,44.9087,54.4203,3829.8407
44.75,55.17,3939.0686,44.9698,54.1438,3896.5197
41.89,55.17,3984.0928,47.5692,53.4134,3951.8649
41.89,78.64,3971.2104,42.971,55.6991,3977.0474
42.21,78.64,4004.3926,46.8221,60.8374,3982.0445
42.62,78.64,4006.4951,45.3072,59.008,3974.9015
41.62,78.64,4025.9492,43.7841,58.6996,3979.6494
41.26,78.64,4068.6885,44.4385,57.628,4024.9611
41.76,78.64,4044.0249,46.5952,58.0094,4043.6896
42.75,78.64,4063.4775,43.8696,58.8332,4060.555
42.83,78.64,4070.6777,43.5154,57.5276,4058.4598
42.91,78.64,4080.8555,47.4458,57.6038,4075.0995
41.96,78.64,4079.6042,42.639,56.7712,4096.1872
43.66,78.64,4117.7139,45.5651,58.2788,4069.8378
49.99,78.64,4105.7075,45.0129,57.0965,4100.5347
39.44,102.51,4118.9702,44.2891,58.3699,4171.9007
41.19,102.51,4127.7764,44.7021,79.3289,4208.9242
43.72,102.51,4142.7939,43.4511,76.9679,4236.4716
42.48,102.51,4177.1226,46.2361,74.9945,4234.9704
41.55,102.51,4199.3252,48.3292,78.706,4223.8731
43.82,102.51,4212.4268,49.2626,82.2548,4276.8181
41.42,102.51,4207.5015,49.0899,79.448,4235.584
42.8,102.51,4219.6655,47.8803,77.5775,4238.9711
52.7,102.51,4191.7544,45.6186,68.1757,4240.119
52.82,102.51,4184.0591,46.7109,64.1608,4228.4893
54.55,102.51,4207.3306,49.4757,62.0078,4215.8995
63.08,102.51,4233.3955,48.7885,75.8315,4252.3831
33.69,116.0,4255.7178,50.7811,77.4029,4224.2045
33.83,116.0,4285.7651,40.5298,103.02,4252.7951
35.18,116.0,4286.0767,41.6794,103.4038,4239.2506
36.43,116.0,4306.7559,43.5089,97.3186,4235.0015
36.87,116.0,4341.9312,50.9791,99.5404,4304.6483
37.08,116.0,4361.9951,48.7704,108.2041,4311.9604
39.08,116.0,4370.9302,51.8405,108.8888,4318.5977
41.33,116.0,4376.1353,51.1544,111.9903,4282.5701
41.94,116.0,4392.8018,47.8292,111.9667,4298.2899
43.48,116.0,4385.3633,51.0982,116.2948,4216.022
45.0,116.0,4420.6797,52.1945,106.7861,4179.5729
40.88,116.0,4431.5537,49.92,107.7156,4209.5399
38.97,112.95,4434.48,55.7146,113.5377,4245.4657
38.87,112.95,4442.3281,40.8446,125.8176,4283.1667
38.9,112.95,4439.5308,44.9673,132.1408,4318.664
39.55,112.95,4449.4414,43.1204,133.2181,4285.3045
39.91,112.95,4437.2905,41.5402,135.0961,4310.7085
42.11,112.95,4425.1475,44.4805,131.1698,4388.9541
39.95,112.95,4428.7832,43.923,131.1064,4431.0189
42.65,112.95,4442.2671,40.532,122.4178,4444.1466
42.81,112.95,4432.9888,41.6979,121.8073,4443.9767
42.64,112.95,4438.9258,43.186,120.5595,4451.8206
39.33,112.95,4475.248,43.2197,126.8903,4410.7873
39.72,112.95,4444.5459,49.5535,127.8419,4432.7772
135.87,98.58,4434.9639,47.4437,131.4009,4445.29
70.77,98.58,4427.5811,46.1634,118.0794,4392.7046
65.96,98.58,4407.7573,40.9576,116.6032,4397.9586
69.3,98.58,4370.8154,34.2712,119.05,4343.4432
51.51,98.58,4368.626,33.1923,112.8492,4342.465
55.01,98.58,4392.4185,30.7886,105.9525,4379.6362
52.09,98.58,4357.52,26.6602,103.804,4322.7458
39.87,98.58,4382.4395,28.3803,103.2479,4318.3246
54.98,98.58,4347.3379,29.88,101.0363,4352.9118
38.68,98.58,4350.7979,31.2061,102.0943,4329.2549
50.72,98.58,4327.3916,29.7351,104.5615,4330.5192
36.62,98.58,4328.9785,28.4877,104.1676,4414.3109
36.37,63.64,4308.248,30.9233,104.5198,4329.6201
34.84,63.64,4297.4922,37.9274,81.2053,4301.5358
34.94,63.64,4229.6484,31.5591,83.3107,4266.3437
38.52,63.64,4234.5684,25.2697,83.1477,4206.4988
35.04,63.64,4195.105,28.5163,83.2238,4125.5741
35.16,63.64,4204.8799,28.6502,80.8423,4124.0116
34.87,63.64,4177.9238,19.9091,81.9819,4175.23
34.13,63.64,4110.9233,25.5597,81.4343,4125.2808
33.96,63.64,4145.2163,32.8097,83.3709,4193.0471
