rt_true,da_true,load_true,rt_pred,da_pred,load_pred
42.21,78.64,4004.3926,81.2264,65.2919,3239.4389
42.62,78.64,4006.4951,37.9114,43.868,3326.9558
41.62,78.64,4025.9492,42.6887,44.2419,3456.2026
41.26,78.64,4068.6885,46.3597,46.9783,3453.2456
41.76,78.64,4044.0249,46.5857,46.5848,3483.3665
42.75,78.64,4063.4775,44.0,49.3583,3586.9271
42.83,78.64,4070.6777,40.1224,46.4631,3449.2383
42.91,78.64,4080.8555,38.2568,52.6518,3481.6558
41.96,78.64,4079.6042,38.8844,55.1241,3515.4979
43.66,78.64,4117.7139,42.9001,53.1735,3448.745
49.99,78.64,4105.7075,50.1984,49.7581,3516.2386
39.44,102.51,4118.9702,46.6201,48.0473,3544.034
41.19,102.51,4127.7764,45.5287,51.0034,3544.112
43.72,102.51,4142.7939,46.9571,52.7987,3683.6486
42.48,102.51,4177.1226,44.5968,57.4395,3713.2018
41.55,102.51,4199.3252,38.9003,58.6608,3664.7976
43.82,102.51,4212.4268,38.4221,56.8597,3677.3247
41.42,102.51,4207.5015,38.968,53.3368,3665.8654
42.8,102.51,4219.6655,43.8098,51.8982,3627.1209
52.7,102.51,4191.7544,45.6904,55.7666,3694.0088
52.82,102.51,4184.0591,48.911,55.7666,3713.0402
54.55,102.51,4207.3306,47.9405,56.4915,3770.7042
63.08,102.51,4233.3955,44.8194,59.3659,3838.2034
33.69,116.0,4255.7178,41.8879,63.9749,3890.4055
33.83,116.0,4285.7651,41.8614,64.9167,3927.989
35.18,116.0,4286.0767,42.9165,67.0665,3883.849
36.43,116.0,4306.7559,42.9816,67.8534,3900.0612
36.87,116.0,4341.9312,43.007,66.4892,3905.894
37.08,116.0,4361.9951,52.8743,58.0882,3994.1337
39.08,116.0,4370.9302,53.3911,59.8156,4015.6006
41.33,116.0,4376.1353,55.3315,56.7101,4062.9211
41.94,116.0,4392.8018,48.7393,65.9229,4066.103
43.48,116.0,4385.3633,47.0127,68.0439,4059.8246
45.0,116.0,4420.6797,43.0925,69.2085,4080.0245
40.88,116.0,4431.5537,44.1675,64.5993,4094.0003
38.97,112.95,4434.48,42.9175,70.2735,4096.4644
38.87,112.95,4442.3281,44.5674,68.125,4091.902
38.9,112.95,4439.5308,43.0994,74.359,4107.2128
39.55,112.95,4449.4414,50.1153,66.6019,4111.0759
39.91,112.95,4437.2905,52.1652,68.3074,4152.7616
42.11,112.95,4425.1475,50.6071,67.0732,4150.1243
39.95,112.95,4428.7832,46.8956,70.6034,4198.0205
42.65,112.95,4442.2671,48.4987,76.5343,4269.884
42.81,112.95,4432.9888,47.6766,102.498,4318.7893
42.64,112.95,4438.9258,49.2675,101.7129,4271.8486
39.33,112.95,4475.248,52.2472,102.4982,4236.6282
39.72,112.95,4444.5459,53.4139,93.9221,4208.821
135.87,98.58,4434.9639,53.3852,88.0374,4244.9026
70.77,98.58,4427.5811,59.3102,84.1942,4206.436
65.96,98.58,4407.7573,60.2215,80.2901,4199.9165
69.3,98.58,4370.8154,51.9751,89.5696,4190.3617
51.51,98.58,4368.626,49.6355,88.4903,4181.9749
55.01,98.58,4392.4185,47.897,89.3319,4104.4778
52.09,98.58,4357.52,50.1316,87.0622,4163.904
39.87,98.58,4382.4395,55.6996,91.2547,4160.177
54.98,98.58,4347.3379,50.7174,106.7999,4208.6684
38.68,98.58,4350.7979,48.2035,106.7066,4267.0835
50.72,98.58,4327.3916,50.4563,102.4648,4278.2706
36.62,98.58,4328.9785,60.7901,101.242,4373.73
36.37,63.64,4308.248,57.2933,105.6347,4390.8586
34.84,63.64,4297.4922,57.0321,101.434,4381.0128
34.94,63.64,4229.6484,55.0488,92.4637,4368.3222
38.52,63.64,4234.5684,54.1627,86.1518,4301.0002
35.04,63.64,4195.105,56.8591,78.9708,4182.383
35.16,63.64,4204.8799,63.1768,88.4518,4251.0249
34.87,63.64,4177.9238,62.8465,89.8396,4201.3459
34.13,63.64,4110.9233,57.5886,88.9405,4283.6356
33.96,63.64,4145.2163,50.3311,105.1539,4374.6496
33.8,63.64,4111.3682,51.03,109.1593,4383.613
33.76,63.64,4069.9575,48.0664,108.9046,4441.7423
33.75,63.64,4076.4395,65.1324,104.6046,4462.2148
35.52,52.64,4039.833,72.4513,101.2352,4555.569
36.63,52.64,4022.9407,75.5512,105.3777,4598.5508
35.91,52.64,3993.1812,88.5809,100.4871,4605.9835
81.14,52.64,4008.8071,78.2056,95.3376,4636.1118
35.44,52.64,4007.8516,80.4312,95.5831,4587.5005
35.51,52.64,3987.1484,78.0865,92.2667,4523.9743
34.95,52.64,3995.9451,71.5443,99.4911,4538.1683
35.1,52.64,4004.0364,75.1707,99.7631,4530.2363
33.99,52.64,3952.0979,67.1431,83.0741,4469.7526
33.88,52.64,3938.8774,68.3649,83.9477,4477.5969
33.85,52.64,3919.6089,68.3385,93.2625,4387.3891
33.76,52.64,3916.4338,58.5517,111.0822,4419.9018
36.71,43.73,3911.7925,65.1772,111.1441,4438.1528
38.28,43.73,3877.0107,69.078,111.3609,4419.969
35.83,43.73,3863.3857,77.8804,99.6023,4389.6012
35.77,43.73,3836.4346,72.5461,94.9934,4446.6862
35.29,43.73,3811.0808,70.5554,109.0103,4536.7068
34.91,43.73,3807.2017,71.1102,87.4879,4472.3346
34.36,43.73,3762.3027,61.0355,95.7386,4503.565
33.88,43.73,3746.9854,63.6032,105.9151,4430.3563
36.87,43.73,3720.4746,78.6465,63.4557,4337.2295
